Id,Timestamp,Device_id,Latitude,Longitude,Altitude,Anomaly,dt,delta_lat,delta_lon,delta_alt,distance_m,speed_m_s,bearing,acceleration,cumulative_distance
15210,2013-08-24 14:24:54+00:00,2,50.0950712,2.2757875,136,1,915.0,0.010350099999996587,-0.004529200000000344,-25.0,1195.3771604093058,1.306423126130389,-15.68073832009898,-0.0018424269313344805,6991146.745800619
15212,2013-08-24 14:54:50+00:00,2,50.094234,2.2714852,152,1,1796.0,-0.0008371999999994273,-0.004302299999999981,16.0,320.7081533837595,0.17856801413349638,-106.87255261447575,-0.0006279816881942608,6991467.453954003
15213,2013-08-24 15:09:45+00:00,2,50.0941994,2.2721233,153,1,895.0,-3.459999999932961e-05,0.0006381000000001968,1.0,45.68088367951279,0.05104009349666233,94.831055011015,-0.0001424892968009319,6991513.134837682
15214,2013-08-24 15:24:41+00:00,2,50.0945493,2.2735223,154,1,896.0,0.00034989999999623933,0.0013990000000001501,1.0,107.11277657714213,0.11954550957270327,68.70046414981161,7.645693758486711e-05,6991620.247614259
15215,2013-08-24 15:39:45+00:00,2,50.0866512,2.2991544,147,1,904.0,-0.007898099999998465,0.025632099999999713,-7.0,2028.5551047309173,2.243976885764289,115.6440153006365,0.002350034708176533,6993648.8027189905
15216,2013-08-24 15:54:52+00:00,2,50.0594732,2.3103825,196,1,907.0,-0.02717799999999926,0.011228099999999852,49.0,3126.485327448197,3.4470621030299857,165.1453134852923,0.0013264445614836788,6996775.288046438
15217,2013-08-24 16:10:32+00:00,2,50.0298673,2.3073876,128,1,940.0,-0.029605899999999963,-0.0029948999999995785,-68.0,3298.9651064684545,3.5095373473068663,-176.28195514436877,6.646302582646868e-05,7000074.253152907
15218,2013-08-24 16:26:03+00:00,2,50.029956,2.3072224,126,1,931.0,8.869999999916445e-05,-0.0001652000000000875,-2.0,15.379372109650204,0.016519196680612462,-50.110146455891,-0.0037518991950872757,7000089.632525017
15219,2013-08-24 16:40:58+00:00,2,50.0301898,2.3069712,121,1,895.0,0.00023380000000372547,-0.000251200000000118,-5.0,31.58832808205603,0.035294221320732996,-34.61308676513314,2.097768116214585e-05,7000121.220853099
15220,2013-08-24 16:55:53+00:00,2,50.0299809,2.3072044,125,1,895.0,-0.00020890000000406417,0.00023319999999982244,4.0,28.58391467923832,0.03193733483713779,144.3552308057138,-3.750711154854982e-06,7000149.804767777
15221,2013-08-24 17:10:49+00:00,2,50.0303685,2.306862,125,1,896.0,0.00038760000000337413,-0.0003423999999996319,0.0,49.555123943566514,0.055307057972730486,-29.57358408071955,2.608228028525971e-05,7000199.359891721
15222,2013-08-24 17:25:46+00:00,2,50.0309088,2.30786,131,1,897.0,0.0005402999999972735,0.0009979999999996103,6.0,93.2264845145889,0.10393142086353278,49.87612241804929,5.420776242006945e-05,7000292.586376236
15223,2013-08-24 17:40:42+00:00,2,50.0316847,2.3067439,123,1,896.0,0.0007759000000007177,-0.0011160999999999532,-8.0,117.46918694508791,0.13110400328692848,-42.73816380263225,3.0326542883254122e-05,7000410.055563181
15224,2013-08-24 17:55:42+00:00,2,49.9961719,2.3471138,119,1,900.0,-0.035512799999999345,0.04036989999999996,-4.0,4890.217587136342,5.433575096818158,143.83676977486667,0.005891634548368033,7005300.273150317
15225,2013-08-24 18:10:33+00:00,2,49.9956677,2.3475611,116,1,891.0,-0.000504200000001731,0.0004473000000002614,-3.0,64.54085245048427,0.07243642250334935,150.30388478231848,-0.0060169906557966425,7005364.814002768
15226,2013-08-24 18:25:29+00:00,2,49.9961956,2.3469299,113,1,896.0,0.0005279000000015799,-0.0006311999999999429,-3.0,74.03620971026503,0.08262969833734936,-37.54686147973628,1.1376423921875011e-05,7005438.850212478
15227,2013-08-24 18:40:25+00:00,2,49.9973338,2.345397,136,1,896.0,0.001138199999999756,-0.0015328999999999482,23.0,167.40297042517037,0.1868336723495205,-40.883754437833275,0.00011629907813858387,7005606.253182903
15228,2013-08-24 18:55:23+00:00,2,49.9869917,2.3333792,120,1,898.0,-0.010342100000002574,-0.01201780000000019,-16.0,1435.459139624575,1.5985068369984132,-143.2335203877195,0.0015720191143083438,7007041.712322528
15229,2013-08-24 19:10:20+00:00,2,49.9734639,2.3214926,137,1,897.0,-0.013527799999998535,-0.01188659999999997,17.0,1727.7399450988746,1.9261314884045424,-150.52741402660445,0.00036524487336246284,7008769.452267626
15230,2013-08-24 19:25:48+00:00,2,49.9566024,2.2943935,75,1,928.0,-0.01686149999999742,-0.027099100000000043,-62.0,2696.7278781908053,2.905956765291816,-134.03715688648902,0.0010558462035423206,7011466.180145818
15231,2013-08-24 19:40:55+00:00,2,49.9411285,2.2834648,79,1,907.0,-0.015473900000003482,-0.010928700000000013,4.0,1889.969827251211,2.0837594567268036,-155.55581842583476,-0.0009065019940077313,7013356.149973068
15232,2013-08-24 19:56:04+00:00,2,49.9413359,2.2831874,73,1,909.0,0.00020740000000074588,-0.0002773999999998722,-6.0,30.428975326667594,0.03347522038137249,-40.72132375232634,-0.0022555382138013543,7013386.578948395
15233,2013-08-24 20:11:35+00:00,2,49.9413177,2.2832508,74,1,931.0,-1.8199999999524152e-05,6.339999999971369e-05,1.0,4.967912264042057,0.005336103398541414,114.03931639360745,-3.0224615448798147e-05,7013391.5468606595
15234,2013-08-24 20:26:33+00:00,2,49.9413187,2.283275,75,1,898.0,9.999999974752427e-07,2.420000000036282e-05,1.0,1.7353646885964473,0.0019324773815105204,86.32619948799753,-3.790229417629058e-06,7013393.282225348
15235,2013-08-24 20:41:29+00:00,2,49.9413248,2.2832556,74,1,896.0,6.100000000230921e-06,-1.9400000000224793e-05,-1.0,1.5451395886119157,0.0017244861480043702,-63.961021632190125,-2.3213307310954265e-07,7013394.8273649365
15236,2013-08-24 20:56:25+00:00,2,49.9412907,2.2832486,76,1,896.0,-3.409999999348656e-05,-7.000000000090267e-06,2.0,3.824693418686353,0.004268631047641019,-172.47414510188995,2.8394474326301887e-06,7013398.6520583555
15237,2013-08-24 21:26:17+00:00,2,49.9412371,2.2830573,75,1,1792.0,-5.3600000001097214e-05,-0.00019130000000000535,-1.0,14.930944841183159,0.008332000469410244,-113.5264911151035,2.2675052576837193e-06,7013413.583003197
